Samples	Signature A	Signature B
PD4199a	1.53E+00	1.53E+00
PD4005a	2.47E+00	2.47E+00
PD3851a	1.44E+00	1.44E+00
PD4116a	4.01E+00	4.01E+00
PD4086a	5.35E-01	5.35E-01
PD4194a	1.29E+00	1.29E+00
PD4248a	1.08E+00	1.08E+00
PD4120a	0.00E+00	0.00E+00
PD4198a	1.92E+00	1.92E+00
PD3904a	3.01E+00	3.01E+00
PD3945a	3.82E+00	3.82E+00
PD4107a	3.54E+00	3.54E+00
PD3905a	2.00E+00	2.00E+00
PD4192a	4.91E-01	4.91E-01
PD4109a	2.45E+00	2.45E+00
PD4103a	2.88E+00	2.88E+00
PD4115a	0.00E+00	0.00E+00
PD4085a	1.08E+00	1.08E+00
PD3890a	4.43E+00	4.43E+00
PD4006a	1.74E+00	1.74E+00
PD4088a	3.78E-01	3.78E-01
