MutationType	Signature A	Signature B
AC>CA	0.009026176857807277	0.0035785865513194245
AC>CG	0.001976856703958303	0.004516435316767858
AC>CT	0.006435878690691262	0.0007068355377118178
AC>GA	0.010164299330018552	0.00485591104413983
AC>GG	0.0009025646014314391	1.2632430571528435e-06
AC>GT	0.0007113675622246287	1.5581137228845986e-06
AC>TA	0.0126521295862092	1.6892181276553497e-06
AC>TG	0.002309887118852553	1.067480030723561e-06
AC>TT	0.007783307713005793	0.013549384352110193
AT>CA	0.0052735651193423	0.0009115979184677358
AT>CC	2.162811998217915e-06	2.25259025127967e-06
AT>CG	2.162811998217915e-06	2.25259025127967e-06
AT>GA	0.0027136877315941145	0.005256461424770075
AT>GC	0.00201102733740876	0.0005445991327811463
AT>TA	0.0047470063490604245	9.846251382447184e-07
CC>AA	0.1705728568781975	0.02983276126856412
CC>AG	0.0411641648844141	0.004802228252552655
CC>AT	0.05347449308751741	0.027552231797651747
CC>GA	0.0237981028656612	0.0005319308587363239
CC>GG	0.00537974106785905	9.799308671207013e-07
CC>GT	0.005944297024130053	0.04183370872704702
CC>TA	0.0057103141042505025	0.06378630145483517
CC>TG	0.004143494835508054	0.013339947538553644
CC>TT	0.010615727533834279	0.2008259240059306
CG>AT	0.0012684723880516326	2.3999244356443036e-06
CG>GC	2.162811998217915e-06	2.25259025127967e-06
CG>GT	0.0010500190757706408	0.0013096604507531464
CG>TA	0.003585519572276226	0.0019878391961164568
CG>TC	2.162811998217915e-06	2.25259025127967e-06
CG>TT	2.162811998217915e-06	2.25259025127967e-06
CT>AA	0.018465696664311117	0.02635816321807665
CT>AC	0.00465050134241213	0.0016190843861671833
CT>AG	0.022017071913181644	0.002514455244532739
CT>GA	0.006583925697885658	9.907171933147825e-07
CT>GC	0.0028259990658127416	0.005312230040996626
CT>GG	0.002597132866522447	0.005310911970032079
CT>TA	0.004736903493277114	0.06857490834817342
CT>TC	0.0040889956243580486	0.009620020291614538
CT>TG	0.005598267858563403	0.004541798395415504
GC>AA	0.05073112439515059	0.020914692252385687
GC>AG	0.022458667281391682	0.031281616753006725
GC>AT	0.015559068497150719	0.0052382567782081405
GC>CA	0.010210309843033546	0.005093515037743141
GC>CG	2.162811998217915e-06	2.25259025127967e-06
GC>TA	0.0029518027650887978	0.0044918170470557685
TA>AT	0.009202246930538881	0.0044948785958369274
TA>CG	0.003259213013805339	4.4867149790092614e-07
TA>CT	0.017547122328643413	0.0023906420635550463
TA>GC	2.162811998217915e-06	2.25259025127967e-06
TA>GG	0.0019532309176591225	9.951790042087236e-07
TA>GT	0.006762513186228887	0.0012759624962823844
TC>AA	0.10632351491986536	0.010445632409666932
TC>AG	0.007029821570176497	0.03977908623490501
TC>AT	0.023279933260682256	0.1748217067692342
TC>CA	0.032395809611565886	0.006346195750330911
TC>CG	0.003799141975356916	0.0013265494660927263
TC>CT	0.013971185398054434	0.027377540862821566
TC>GA	0.02152447156299758	0.001566031385472284
TC>GG	0.0026140042195227802	0.010370235449489224
TC>GT	0.0050517062726289225	0.015572646666487219
TG>AA	0.006792788920230132	8.559998323081319e-07
TG>AC	0.0008975718848618876	0.001092500286033307
TG>AT	0.03206406831029587	0.0015640703745462788
TG>CA	0.026051213486033294	0.023778960869432087
TG>CC	0.006679338804790496	0.020446918046460427
TG>CT	0.06184867149739708	2.1467615024349025e-06
TG>GA	0.005339582250353166	8.182528133718128e-07
TG>GC	0.004934917032893725	0.0025589290321777784
TG>GT	0.008569709534393349	0.013771822040825348
TT>AA	0.012720369453641179	0.013278597263569517
TT>AC	0.0013957557357477204	1.5209827580870892e-06
TT>AG	0.004474067086300446	0.0006738333010403351
TT>CA	0.0010600610377661734	0.005357218111941691
TT>CC	0.0005348328904047503	0.007856552744817445
TT>CG	0.0019625763025118825	0.0020273222603674826
TT>GA	2.1628119982179153e-06	2.25259025127967e-06
TT>GC	0.0012515332684383722	0.001195713502189691
TT>GG	0.001801299513013426	8.996022155660136e-07
