Samples	Signature A	Signature B	Signature C	Signature D
PD4199a	2.15E+00	1.95E+00	1.02E+00	6.11E-01
PD4005a	6.12E+00	1.10E+00	6.04E+00	5.42E+00
PD3851a	0.00E+00	1.26E+00	9.90E-01	1.33E+00
PD4116a	3.75E+00	3.35E+00	1.04E+01	1.19E+01
PD4086a	0.00E+00	1.25E-01	8.86E-01	9.25E-01
PD4194a	0.00E+00	1.00E+00	1.31E+00	1.00E+00
PD4248a	1.98E+00	2.63E-01	2.24E+00	1.02E+00
PD4120a	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PD4198a	7.50E-01	1.90E+00	2.05E+00	1.95E+00
PD3904a	6.43E+00	1.64E+00	3.49E+00	5.51E+00
PD3945a	8.63E+00	3.00E+00	1.14E+01	9.33E+00
PD4107a	0.00E+00	3.10E+00	5.26E+00	6.00E+00
PD3905a	1.62E+00	8.02E-01	2.20E+00	2.86E+00
PD4192a	3.13E+00	5.00E-01	3.39E+00	2.50E-01
PD4109a	6.84E+00	1.44E+00	2.62E+00	5.24E+00
PD4103a	3.19E+00	1.47E+00	3.28E+00	0.00E+00
PD4115a	1.17E+01	0.00E+00	1.11E+01	5.71E+00
PD4085a	4.20E-01	1.08E+00	8.18E-01	1.35E+00
PD3890a	4.83E+00	1.29E+00	5.21E+00	4.61E+00
PD4006a	2.62E+00	1.12E+00	8.47E+00	7.87E+00
PD4088a	7.07E-01	2.67E-01	7.26E-01	2.50E-01
