MutationsType	Signature A	Signature B
AC>CA	0.00902618	0.00357859
AC>CG	0.00197686	0.00451644
AC>CT	0.00643588	0.00070684
AC>GA	0.01016430	0.00485591
AC>GG	0.00090256	0.00000126
AC>GT	0.00071137	0.00000156
AC>TA	0.01265213	0.00000169
AC>TG	0.00230989	0.00000107
AC>TT	0.00778331	0.01354938
AT>CA	0.00527357	0.00091160
AT>CC	0.00000216	0.00000225
AT>CG	0.00000216	0.00000225
AT>GA	0.00271369	0.00525646
AT>GC	0.00201103	0.00054460
AT>TA	0.00474701	0.00000098
CC>AA	0.17057286	0.02983276
CC>AG	0.04116416	0.00480223
CC>AT	0.05347449	0.02755223
CC>GA	0.02379810	0.00053193
CC>GG	0.00537974	0.00000098
CC>GT	0.00594430	0.04183371
CC>TA	0.00571031	0.06378630
CC>TG	0.00414349	0.01333995
CC>TT	0.01061573	0.20082592
CG>AT	0.00126847	0.00000240
CG>GC	0.00000216	0.00000225
CG>GT	0.00105002	0.00130966
CG>TA	0.00358552	0.00198784
CG>TC	0.00000216	0.00000225
CG>TT	0.00000216	0.00000225
CT>AA	0.01846570	0.02635816
CT>AC	0.00465050	0.00161908
CT>AG	0.02201707	0.00251446
CT>GA	0.00658393	0.00000099
CT>GC	0.00282600	0.00531223
CT>GG	0.00259713	0.00531091
CT>TA	0.00473690	0.06857491
CT>TC	0.00408900	0.00962002
CT>TG	0.00559827	0.00454180
GC>AA	0.05073112	0.02091469
GC>AG	0.02245867	0.03128162
GC>AT	0.01555907	0.00523826
GC>CA	0.01021031	0.00509352
GC>CG	0.00000216	0.00000225
GC>TA	0.00295180	0.00449182
TA>AT	0.00920225	0.00449488
TA>CG	0.00325921	0.00000045
TA>CT	0.01754712	0.00239064
TA>GC	0.00000216	0.00000225
TA>GG	0.00195323	0.00000100
TA>GT	0.00676251	0.00127596
TC>AA	0.10632351	0.01044563
TC>AG	0.00702982	0.03977909
TC>AT	0.02327993	0.17482171
TC>CA	0.03239581	0.00634620
TC>CG	0.00379914	0.00132655
TC>CT	0.01397119	0.02737754
TC>GA	0.02152447	0.00156603
TC>GG	0.00261400	0.01037024
TC>GT	0.00505171	0.01557265
TG>AA	0.00679279	0.00000086
TG>AC	0.00089757	0.00109250
TG>AT	0.03206407	0.00156407
TG>CA	0.02605121	0.02377896
TG>CC	0.00667934	0.02044692
TG>CT	0.06184867	0.00000215
TG>GA	0.00533958	0.00000082
TG>GC	0.00493492	0.00255893
TG>GT	0.00856971	0.01377182
TT>AA	0.01272037	0.01327860
TT>AC	0.00139576	0.00000152
TT>AG	0.00447407	0.00067383
TT>CA	0.00106006	0.00535722
TT>CC	0.00053483	0.00785655
TT>CG	0.00196258	0.00202732
TT>GA	0.00000216	0.00000225
TT>GC	0.00125153	0.00119571
TT>GG	0.00180130	0.00000090
