Sample Names	MutationTypes	Signature A	Signature B
PD4199a	AC>CA	0.0	1.0
PD4199a	AC>CG	0.0	1.0
PD4199a	AC>CT	0.0	1.0
PD4199a	AC>GA	0.0	1.0
PD4199a	AC>GG	0.0	1.0
PD4199a	AC>GT	0.0	1.0
PD4199a	AC>TA	0.0	1.0
PD4199a	AC>TG	0.0	1.0
PD4199a	AC>TT	0.0	1.0
PD4199a	AT>CA	0.0	1.0
PD4199a	AT>CC	0.0	1.0
PD4199a	AT>CG	0.0	1.0
PD4199a	AT>GA	0.0	1.0
PD4199a	AT>GC	0.0	1.0
PD4199a	AT>TA	0.0	1.0
PD4199a	CC>AA	0.0	1.0
PD4199a	CC>AG	0.0	1.0
PD4199a	CC>AT	0.0	1.0
PD4199a	CC>GA	0.0	1.0
PD4199a	CC>GG	0.0	1.0
PD4199a	CC>GT	0.0	1.0
PD4199a	CC>TA	0.0	1.0
PD4199a	CC>TG	0.0	1.0
PD4199a	CC>TT	0.0	1.0
PD4199a	CG>AT	0.0	1.0
PD4199a	CG>GC	0.0	1.0
PD4199a	CG>GT	0.0	1.0
PD4199a	CG>TA	0.0	1.0
PD4199a	CG>TC	0.0	1.0
PD4199a	CG>TT	0.0	1.0
PD4199a	CT>AA	0.0	1.0
PD4199a	CT>AC	0.0	1.0
PD4199a	CT>AG	0.0	1.0
PD4199a	CT>GA	0.0	1.0
PD4199a	CT>GC	0.0	1.0
PD4199a	CT>GG	0.0	1.0
PD4199a	CT>TA	0.0	1.0
PD4199a	CT>TC	0.0	1.0
PD4199a	CT>TG	0.0	1.0
PD4199a	GC>AA	0.0	1.0
PD4199a	GC>AG	0.0	1.0
PD4199a	GC>AT	0.0	1.0
PD4199a	GC>CA	0.0	1.0
PD4199a	GC>CG	0.0	1.0
PD4199a	GC>TA	0.0	1.0
PD4199a	TA>AT	0.0	1.0
PD4199a	TA>CG	0.0	1.0
PD4199a	TA>CT	0.0	1.0
PD4199a	TA>GC	0.0	1.0
PD4199a	TA>GG	0.0	1.0
PD4199a	TA>GT	0.0	1.0
PD4199a	TC>AA	0.0	1.0
PD4199a	TC>AG	0.0	1.0
PD4199a	TC>AT	0.0	1.0
PD4199a	TC>CA	0.0	1.0
PD4199a	TC>CG	0.0	1.0
PD4199a	TC>CT	0.0	1.0
PD4199a	TC>GA	0.0	1.0
PD4199a	TC>GG	0.0	1.0
PD4199a	TC>GT	0.0	1.0
PD4199a	TG>AA	0.0	1.0
PD4199a	TG>AC	0.0	1.0
PD4199a	TG>AT	0.0	1.0
PD4199a	TG>CA	0.0	1.0
PD4199a	TG>CC	0.0	1.0
PD4199a	TG>CT	0.0	1.0
PD4199a	TG>GA	0.0	1.0
PD4199a	TG>GC	0.0	1.0
PD4199a	TG>GT	0.0	1.0
PD4199a	TT>AA	0.0	1.0
PD4199a	TT>AC	0.0	1.0
PD4199a	TT>AG	0.0	1.0
PD4199a	TT>CA	0.0	1.0
PD4199a	TT>CC	0.0	1.0
PD4199a	TT>CG	0.0	1.0
PD4199a	TT>GA	0.0	1.0
PD4199a	TT>GC	0.0	1.0
PD4199a	TT>GG	0.0	1.0
PD4005a	AC>CA	1.0	0.0
PD4005a	AC>CG	1.0	0.0
PD4005a	AC>CT	1.0	0.0
PD4005a	AC>GA	1.0	0.0
PD4005a	AC>GG	1.0	0.0
PD4005a	AC>GT	1.0	0.0
PD4005a	AC>TA	1.0	0.0
PD4005a	AC>TG	1.0	0.0
PD4005a	AC>TT	1.0	0.0
PD4005a	AT>CA	1.0	0.0
PD4005a	AT>CC	1.0	0.0
PD4005a	AT>CG	1.0	0.0
PD4005a	AT>GA	1.0	0.0
PD4005a	AT>GC	1.0	0.0
PD4005a	AT>TA	1.0	0.0
