Samples	Signature A	Signature B
PD4199a	7.05E+00	7.05E+00
PD4005a	2.21E+01	2.21E+01
PD3851a	7.30E+00	7.30E+00
PD4116a	4.50E+01	4.50E+01
PD4086a	8.69E+00	8.69E+00
PD4194a	3.23E+00	3.23E+00
PD4248a	1.20E+01	1.20E+01
PD4120a	4.28E+00	4.28E+00
PD4198a	1.73E+01	1.73E+01
PD3904a	2.37E+01	2.37E+01
PD3945a	6.01E+01	6.01E+01
PD4107a	6.01E+01	6.01E+01
PD3905a	1.97E+01	1.97E+01
PD4192a	2.27E+01	2.27E+01
PD4109a	3.51E+01	3.51E+01
PD4103a	1.94E+01	1.94E+01
PD4115a	4.94E+01	4.94E+01
PD4085a	1.09E+01	1.09E+01
PD3890a	2.85E+01	2.85E+01
PD4006a	5.16E+01	5.16E+01
PD4088a	4.27E+00	4.27E+00
