Samples	Signature A	Signature B	Signature C
PD4199a	2.88E+01	5.22E+01	7.66E+01
PD4005a	1.58E+01	2.54E+01	2.47E+01
PD3851a	9.54E+00	1.99E+01	1.80E+01
PD4116a	5.38E+01	6.94E+01	9.99E+01
PD4086a	1.23E+01	2.12E+01	2.84E+01
PD4194a	1.12E+01	1.07E+01	1.89E+01
PD4248a	9.59E+00	2.31E+01	2.39E+01
PD4120a	5.37E+01	4.79E+01	6.72E+01
PD4198a	1.51E+01	3.09E+01	2.31E+01
PD3904a	1.80E+01	6.95E+01	6.96E+01
PD3945a	4.06E+01	9.37E+01	1.14E+02
PD4107a	3.40E+01	1.00E+02	1.11E+02
PD3905a	2.17E+01	2.73E+01	4.14E+01
PD4192a	2.11E+01	1.61E+01	2.60E+01
PD4109a	3.12E+01	8.95E+01	1.09E+02
PD4103a	2.03E+01	4.12E+01	3.56E+01
PD4115a	4.45E+01	6.42E+01	8.77E+01
PD4085a	9.02E+00	3.04E+01	2.78E+01
PD3890a	2.59E+01	3.49E+01	5.36E+01
PD4006a	3.94E+01	7.07E+01	9.33E+01
PD4088a	7.47E+00	1.19E+01	1.37E+01
