Samples	Signature A	Signature B	Signature C	Signature D
PD4199a	2.76E+01	3.39E+01	6.14E+01	4.10E+01
PD4005a	1.81E+01	1.01E+02	1.18E+01	8.34E+01
PD3851a	7.01E+00	3.25E+01	2.70E+01	2.35E+01
PD4116a	4.17E+01	9.78E+01	4.59E+01	6.86E+01
PD4086a	1.37E+01	4.11E+01	3.18E+01	2.71E+01
PD4194a	9.62E+00	3.50E+01	3.88E+01	1.10E+01
PD4248a	1.16E+01	6.17E+01	4.43E+01	3.42E+01
PD4120a	3.95E+01	5.36E+01	4.64E+01	3.58E+01
PD4198a	1.52E+01	6.85E+01	4.83E+01	5.28E+01
PD3904a	2.42E+01	1.20E+02	9.12E+01	5.98E+01
PD3945a	1.51E+01	1.31E+02	1.05E+02	8.37E+01
PD4107a	1.37E+01	8.33E+01	4.49E+01	8.97E+01
PD3905a	1.50E+01	8.19E+01	2.71E+01	5.44E+01
PD4192a	1.36E+01	6.87E+01	1.77E+01	6.14E+01
PD4109a	2.63E+01	1.22E+02	1.08E+02	9.77E+01
PD4103a	2.03E+01	1.24E+02	8.00E+01	7.04E+01
PD4115a	1.68E+01	1.08E+02	7.08E+01	5.09E+01
PD4085a	3.87E+00	3.77E+01	4.23E+01	3.77E+01
PD3890a	3.28E+01	1.04E+02	4.53E+01	7.98E+01
PD4006a	4.05E+01	1.31E+02	7.09E+01	9.79E+01
PD4088a	9.24E+00	2.66E+01	2.49E+01	9.05E+00
