Samples	SBS1	SBS3	SBS5	SBS19	SBS30	SBS39	SBS40	SBS41
PD4199a	0	0	86	155	382	846	0	0
PD4005a	0	458	190	0	170	542	0	0
PD3851a	0	0	151	47	0	0	237	0
PD4116a	0	1356	259	0	0	0	0	247
PD4086a	0	0	125	0	60	116	216	0
PD4194a	1	0	28	40	48	0	267	0
PD4248a	7	0	154	0	0	0	442	0
PD4120a	0	0	0	0	5065	9737	0	0
PD4198a	1	0	465	64	0	0	593	0
PD3904a	11	0	197	0	0	0	1119	0
PD3945a	13	933	275	0	0	0	1320	0
PD4107a	8	741	359	0	0	0	1399	0
PD3905a	0	853	195	0	0	0	0	131
PD4192a	0	637	117	0	72	0	0	166
PD4109a	0	0	612	0	0	324	1446	0
PD4103a	21	0	255	126	0	0	854	0
PD4115a	11	867	200	0	0	0	1370	0
PD4085a	1	0	313	0	0	0	311	0
PD3890a	0	942	344	0	0	0	0	188
PD4006a	0	1068	202	0	0	0	968	0
PD4088a	8	0	75	32	0	0	275	0
